"","value_sqft","qrtmile","dist","condition","medInc","vacRate"
"5891",51.9514310494,0,2128.68940774,0,23705,0.148928818244644
"5892",51.6351118761,0,2068.0048337,0,23705,0.148928818244644
"5893",51.6351118761,0,2139.16196894,0,23705,0.148928818244644
"5894",51.6351118761,0,2079.11565234,0,23705,0.148928818244644
"5895",52.045256745,0,2149.1929337,0,23705,0.148928818244644
"5896",51.6351118761,0,2089.95992686,0,23705,0.148928818244644
"5897",52.045256745,0,2159.87213607,0,23705,0.148928818244644
"5898",51.6351118761,0,2100.77472698,0,23705,0.148928818244644
"5899",34.2036553525,0,2170.55856818,0,23705,0.148928818244644
"5900",51.6351118761,0,2111.49990804,0,23705,0.148928818244644
"5901",52.045256745,0,2181.43791487,0,23705,0.148928818244644
"5902",51.6351118761,0,2122.71538928,0,23705,0.148928818244644
"5903",75.6787330317,0,9371.45832412,0,38963,0.0639963167587477
"5904",73.9682539683,0,9658.89322191,0,38963,0.0639963167587477
"5905",77.962962963,0,9571.99593778,0,38963,0.0639963167587477
"5906",73.0574324324,0,9676.06167694,0,38963,0.0639963167587477
"5907",75.9259259259,0,9588.26766461,0,38963,0.0639963167587477
"5908",73.0574324324,0,9687.31383877,0,38963,0.0639963167587477
"5909",75.2777777778,0,9600.08313454,0,38963,0.0639963167587477
"5910",73.0574324324,0,9698.50363384,0,38963,0.0639963167587477
"5911",75.2777777778,0,9611.85109183,0,38963,0.0639963167587477
"5912",73.0574324324,0,9710.12474239,0,38963,0.0639963167587477
"5913",75.2777777778,0,9624.00473593,0,38963,0.0639963167587477
"5914",73.7331081081,0,9722.22785508,0,38963,0.0639963167587477
"5915",74.4444444444,0,9636.20895273,0,38963,0.0639963167587477
"5916",73.7331081081,0,9734.16933679,0,38963,0.0639963167587477
"5917",105.737704918,1,432.572023745,0,46174,0.164270152505447
"5918",60.1176470588,1,502.612749157,0,46174,0.164270152505447
"5919",61.6038882139,1,511.526577526,0,46174,0.164270152505447
"5920",59.0465872156,1,520.847195309,0,46174,0.164270152505447
"5921",77.6442307692,1,539.746311494,0,46174,0.164270152505447
"5922",184.00974026,1,578.335556984,1,46174,0.164270152505447
"5923",50.1430615165,1,638.444057762,0,46174,0.164270152505447
"5924",82.4750830565,1,591.652374071,0,46174,0.164270152505447
"5925",51.0997067449,1,650.074957153,0,46174,0.164270152505447
"5926",82.4750830565,1,604.309749926,0,46174,0.164270152505447
"5927",34.632034632,1,661.791632645,0,46174,0.164270152505447
"5928",82.4750830565,1,617.079006341,0,46174,0.164270152505447
